nakhatra1,nakhatra2,compatibility
Revati,Ashwini,72
Revati,Bharani,69
Revati,Krittika,32
Revati,Rohini,53
Revati,Mrigashirsha,74
Revati,Ardra,72
Revati,Punarvasu,69
Revati,Pushya,72
Revati,Ashlesha,33
Revati,Magha,33
Revati,Purva Phalguni,67
Revati,Uttara Phalguni,69
Revati,Hasta,66
Revati,Chitra,43
Revati,Swati,24
Revati,Vishakha,18
Revati,Anuradha,72
Revati,Jyeshta,55
Revati,Mula,72
Revati,Purva Ashadha,83
Revati,Uttara Ashadha,55
Revati,Shravana,64
Revati,Dhanishta,36
Revati,Shatabhisha,42
Revati,Purva Bhadrapada,68
Revati,Uttara Bhadrapada,91
Revati,Revati,77
Uttara Bhadra,Ashwini,64
Uttara Bhadra,Bharani,11
Uttara Bhadra,Krittika,50
Uttara Bhadra,Rohini,75
Uttara Bhadra,Mrigashirsha,49
Uttara Bhadra,Ardra,72
Uttara Bhadra,Punarvasu,70
Uttara Bhadra,Pushya,50
Uttara Bhadra,Ashlesha,55
Uttara Bhadra,Magha,50
Uttara Bhadra,Purva Phalguni,44
Uttara Bhadra,Uttara Phalguni,75
Uttara Bhadra,Hasta,72
Uttara Bhadra,Chitra,18
Uttara Bhadra,Swati,53
Uttara Bhadra,Vishakha,41
Uttara Bhadra,Anuradha,47
Uttara Bhadra,Jyeshta,55
Uttara Bhadra,Mula,66
Uttara Bhadra,Purva Ashadha,61
Uttara Bhadra,Uttara Ashadha,83
Uttara Bhadra,Shravana,80
Uttara Bhadra,Dhanishta,17
Uttara Bhadra,Shatabhisha,66
Uttara Bhadra,Purva Bhadrapada,76
Uttara Bhadra,Uttara Bhadrapada,77
Uttara Bhadra,Revati,91
Poorva Bhadrapada,Ashwini,42
Poorva Bhadrapada,Bharani,62
Poorva Bhadrapada,Krittika,54
Poorva Bhadrapada,Rohini,60
Poorva Bhadrapada,Mrigashirsha,69
Poorva Bhadrapada,Ardra,48
Poorva Bhadrapada,Punarvasu,41
Poorva Bhadrapada,Pushya,60
Poorva Bhadrapada,Ashlesha,39
Poorva Bhadrapada,Magha,47
Poorva Bhadrapada,Purva Phalguni,64
Poorva Bhadrapada,Uttara Phalguni,39
Poorva Bhadrapada,Hasta,38
Poorva Bhadrapada,Chitra,45
Poorva Bhadrapada,Swati,60
Poorva Bhadrapada,Vishakha,49
Poorva Bhadrapada,Anuradha,66
Poorva Bhadrapada,Jyeshta,26
Poorva Bhadrapada,Mula,41
Poorva Bhadrapada,Purva Ashadha,66
Poorva Bhadrapada,Uttara Ashadha,66
Poorva Bhadrapada,Shravana,66
Poorva Bhadrapada,Dhanishta,58
Poorva Bhadrapada,Shatabhisha,51
Poorva Bhadrapada,Purva Bhadrapada,68
Poorva Bhadrapada,Uttara Bhadrapada,76
Poorva Bhadrapada,Revati,68
Shatabhisha,Ashwini,66
Shatabhisha,Bharani,50
Shatabhisha,Krittika,50
Shatabhisha,Rohini,30
Shatabhisha,Mrigashirsha,50
Shatabhisha,Ardra,72
Shatabhisha,Punarvasu,70
Shatabhisha,Pushya,32
Shatabhisha,Ashlesha,47
Shatabhisha,Magha,38
Shatabhisha,Purva Phalguni,32
Shatabhisha,Uttara Phalguni,47
Shatabhisha,Hasta,50
Shatabhisha,Chitra,60
Shatabhisha,Swati,80
Shatabhisha,Vishakha,20
Shatabhisha,Anuradha,30
Shatabhisha,Jyeshta,68
Shatabhisha,Mula,42
Shatabhisha,Purva Ashadha,40
Shatabhisha,Uttara Ashadha,47
Shatabhisha,Shravana,68
Shatabhisha,Dhanishta,58
Shatabhisha,Shatabhisha,72
Shatabhisha,Purva Bhadrapada,51
Shatabhisha,Uttara Bhadrapada,66
Shatabhisha,Revati,42
Dhanishta,Ashwini,53
Dhanishta,Bharani,26
Dhanishta,Krittika,70
Dhanishta,Rohini,53
Dhanishta,Mrigashirsha,35
Dhanishta,Ardra,50
Dhanishta,Punarvasu,46
Dhanishta,Pushya,24
Dhanishta,Ashlesha,60
Dhanishta,Magha,55
Dhanishta,Purva Phalguni,19
Dhanishta,Uttara Phalguni,40
Dhanishta,Hasta,51
Dhanishta,Chitra,50
Dhanishta,Swati,65
Dhanishta,Vishakha,70
Dhanishta,Anuradha,31
Dhanishta,Jyeshta,68
Dhanishta,Mula,65
Dhanishta,Purva Ashadha,26
Dhanishta,Uttara Ashadha,51
Dhanishta,Shravana,61
Dhanishta,Dhanishta,63
Dhanishta,Shatabhisha,77
Dhanishta,Purva Bhadrapada,58
Dhanishta,Uttara Bhadrapada,17
Dhanishta,Revati,36
Shravana,Ashwini,72
Shravana,Bharani,77
Shravana,Krittika,32
Shravana,Rohini,50
Shravana,Mrigashirsha,39
Shravana,Ardra,61
Shravana,Punarvasu,68
Shravana,Pushya,75
Shravana,Ashlesha,36
Shravana,Magha,11
Shravana,Purva Phalguni,50
Shravana,Uttara Phalguni,61
Shravana,Hasta,66
